epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0962,1.48036,2.06464,1.56558,0.47979,0.49984,0.43863,0.22602,1.52082,2.42849,1.74785,0.000331606,0.000331606,0.067171
2,73.3337,1.40343,1.4982,1.52054,0.66348,0.70283,0.72889,0.39751,1.52943,1.34532,1.66666,0.000651774,0.000651774,0.0341578
3,109.535,1.39913,1.40106,1.51449,0.65486,0.6623,0.70914,0.39874,1.45585,1.43811,1.65515,0.000958741,0.000958741,0.00113145
4,146.027,1.35978,1.31286,1.48875,0.72588,0.76383,0.79526,0.45486,1.48416,1.0858,1.63419,0.0009406,0.0009406,0.0009406
5,181.603,1.33081,1.23668,1.4694,0.77176,0.79684,0.82357,0.44896,1.50929,1.0819,1.66,0.0009208,0.0009208,0.0009208
6,217.541,1.32066,1.20009,1.45697,0.77754,0.75819,0.8182,0.47327,1.40228,1.06848,1.54548,0.000901,0.000901,0.000901
7,253.207,1.31548,1.15716,1.45275,0.72915,0.69708,0.78362,0.42531,1.55845,1.1906,1.72367,0.0008812,0.0008812,0.0008812
8,288.72,1.29998,1.13101,1.42873,0.78992,0.80787,0.84219,0.48282,1.43537,1.00309,1.5824,0.0008614,0.0008614,0.0008614
9,324.612,1.26242,1.08185,1.41234,0.7957,0.83293,0.87636,0.53624,1.32814,0.90714,1.49331,0.0008416,0.0008416,0.0008416
10,360.491,1.26346,1.05255,1.40964,0.833,0.82103,0.88762,0.55073,1.31326,0.87598,1.48214,0.0008218,0.0008218,0.0008218
11,396.386,1.2503,1.03641,1.40147,0.82177,0.85105,0.88634,0.54464,1.31471,0.84038,1.50011,0.000802,0.000802,0.000802
12,432.065,1.23015,1.00312,1.38715,0.83517,0.83959,0.88093,0.53357,1.3561,0.82418,1.49125,0.0007822,0.0007822,0.0007822
13,467.715,1.21809,0.98704,1.38855,0.82827,0.85355,0.89599,0.54771,1.32822,0.79352,1.50113,0.0007624,0.0007624,0.0007624
14,503.323,1.22577,0.99529,1.3888,0.85475,0.82043,0.88772,0.55468,1.31066,0.79691,1.47956,0.0007426,0.0007426,0.0007426
15,539.1,1.21039,0.96911,1.3744,0.8588,0.81996,0.8926,0.55521,1.31417,0.79604,1.49597,0.0007228,0.0007228,0.0007228
16,574.611,1.20245,0.92918,1.36361,0.82757,0.86044,0.89688,0.54455,1.33756,0.77838,1.50161,0.000703,0.000703,0.000703
17,610.257,1.20847,0.92963,1.37193,0.84602,0.85846,0.89889,0.532,1.4303,0.79416,1.53994,0.0006832,0.0006832,0.0006832
